CPU,Memory,Committed VM,Free Physical Mem,Load Avg,Total Swap,Free swap,used swap,No of Read,Read Bytes,No of Writes,Write Bytes,Total disk space,Used disk space,Free disk space,File count,Total thread count,Daemon thread count,Peak thread count,Running thread count,Rx-bytes,RX-dropped,Rx-error,Rx-frames,Rx-overruns,Rx-packets,Speed,TX-Bytes,TX-Carrier,TX-Collisions,TX-Dropped,TX-Errors,TX-Overruns,TX-Packets
26,90,5444,748,3.35,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,31254124,0,0,0,0,27354,-1,2767433,0,0,0,0,0,17425
40,90,5444,749,3.48,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,31453441,0,0,0,0,27567,-1,2796130,0,0,0,0,0,17573
36,90,5444,734,3.76,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,32293429,0,0,0,0,28254,-1,2857073,0,0,0,0,0,18026
31,91,5444,701,3.7,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,32599840,0,0,0,0,28524,-1,2889199,0,0,0,0,0,18210
33,91,5444,656,3.56,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,33115917,0,0,0,0,28914,-1,2911361,0,0,0,0,0,18423
28,91,5444,685,3.44,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,33665705,0,0,0,0,29322,-1,2937425,0,0,0,0,0,18629
33,85,5444,1151,3.64,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,34174414,0,0,0,0,29802,-1,2986895,0,0,0,0,0,18899
23,86,5444,1081,3.51,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,34227443,0,0,0,0,29945,-1,3030978,0,0,0,0,0,19026
26,86,5444,1107,3.47,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,34569941,0,0,0,0,30211,-1,3045728,0,0,0,0,0,19163
27,86,5444,1088,3.51,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,35896014,0,0,0,0,31199,-1,3101284,0,0,0,0,0,19623
32,86,5444,1080,3.39,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,36142230,0,0,0,0,31398,-1,3116037,0,0,0,0,0,19756
28,86,5444,1083,3.52,959,959,0,-1,-1,-1,-1,805408768,40960,805367808,983166,46,23,34,26,36497874,0,0,0,0,31675,-1,3128300,0,0,0,0,0,19871
30,86,5444,1096,3.4,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,36792640,0,0,0,0,31913,-1,3141368,0,0,0,0,0,19989
37,86,5444,1091,3.53,959,959,0,-1,-1,-1,-1,805408768,36864,805371904,983166,46,23,34,26,37162773,0,0,0,0,32195,-1,3154875,0,0,0,0,0,20121
